unit_code,db_path,table_name,source_file,source_sheet,db_column_1,db_column_2,db_column_3,db_column_4,db_column_5,db_column_6,db_column_7,db_column_8,db_column_9,db_column_10,db_column_11,db_column_12,db_column_13,db_column_14,db_column_15,db_column_16,db_column_17,db_column_18,db_column_19,db_column_20,db_column_21,db_column_22,db_column_23,db_column_24,db_column_25,db_column_26,db_column_27,db_column_28,db_column_29,db_column_30,db_column_31,db_column_32,db_column_33,db_column_34,db_column_35,db_column_36,db_column_37,db_column_38,db_column_39,db_column_40,db_column_41,db_column_42,db_column_43,db_column_44
ba_dinh,/home/vtst/baocaohanoi/api_transition/runtime/ba_dinh/sqlite_history/report_history.db,cau_hinh_tu_dong_cau_hinh_tu_dong_chi_tiet_th_theo_nvkt,cau_hinh_tu_dong_chi_tiet_processed.xlsx,th_theo_nvkt,id,__snapshot_id,__sheet_id,__row_num,__row_hash,__imported_at,Trung tâm Viễn thông,Đội Viễn thông,NVKT,Tổng hợp đồng,Lắp mới,Thay thế,Cấu hình WAN,Cấu hình WiFi,Thành công,Thất bại,Chưa có trạng thái,Tỷ lệ thành công (%),Tỷ lệ thất bại (%),,,,,,,,,,,,,,,,,,,,,,,,,
ba_dinh,/home/vtst/baocaohanoi/api_transition/runtime/ba_dinh/sqlite_history/report_history.db,cau_hinh_tu_dong_cau_hinh_tu_dong_chi_tiet_th_theo_to,cau_hinh_tu_dong_chi_tiet_processed.xlsx,th_theo_to,id,__snapshot_id,__sheet_id,__row_num,__row_hash,__imported_at,Trung tâm Viễn thông,Đội Viễn thông,Tổng hợp đồng,Lắp mới,Thay thế,Cấu hình WAN,Cấu hình WiFi,Thành công,Thất bại,Chưa có trạng thái,Tỷ lệ thành công (%),Tỷ lệ thất bại (%),,,,,,,,,,,,,,,,,,,,,,,,,,
ba_dinh,/home/vtst/baocaohanoi/api_transition/runtime/ba_dinh/sqlite_history/report_history.db,chi_tieu_c_c1_1_chitiet_report_chi_tiet,c1.1_chitiet_report_processed.xlsx,chi_tiet,id,__snapshot_id,__sheet_id,__row_num,__row_hash,__imported_at,TEN_DOI,NVKT,Tổng phiếu,Số phiếu đạt,Tỷ lệ phiếu sửa chữa báo hỏng dịch vụ BRCD đúng quy định không tính hẹn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ba_dinh,/home/vtst/baocaohanoi/api_transition/runtime/ba_dinh/sqlite_history/report_history.db,chi_tieu_c_c1_1_chitiet_report_chi_tieu_ko_hen_15h,c1.1_chitiet_report_processed.xlsx,chi_tieu_ko_hen_15h,id,__snapshot_id,__sheet_id,__row_num,__row_hash,__imported_at,TEN_DOI,NVKT,Tổng phiếu,Số phiếu đạt,Tỷ lệ phiếu sửa chữa báo hỏng dịch vụ BRCD đúng quy định không tính hẹn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ba_dinh,/home/vtst/baocaohanoi/api_transition/runtime/ba_dinh/sqlite_history/report_history.db,chi_tieu_c_c1_1_chitiet_report_chi_tieu_ko_hen_16h,c1.1_chitiet_report_processed.xlsx,chi_tieu_ko_hen_16h,id,__snapshot_id,__sheet_id,__row_num,__row_hash,__imported_at,TEN_DOI,NVKT,Tổng phiếu,Số phiếu đạt,Tỷ lệ phiếu sửa chữa báo hỏng dịch vụ BRCD đúng quy định không tính hẹn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ba_dinh,/home/vtst/baocaohanoi/api_transition/runtime/ba_dinh/sqlite_history/report_history.db,chi_tieu_c_c1_1_chitiet_report_chi_tieu_ko_hen_17h,c1.1_chitiet_report_processed.xlsx,chi_tieu_ko_hen_17h,id,__snapshot_id,__sheet_id,__row_num,__row_hash,__imported_at,TEN_DOI,NVKT,Tổng phiếu,Số phiếu đạt,Tỷ lệ phiếu sửa chữa báo hỏng dịch vụ BRCD đúng quy định không tính hẹn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ba_dinh,/home/vtst/baocaohanoi/api_transition/runtime/ba_dinh/sqlite_history/report_history.db,chi_tieu_c_c1_1_chitiet_report_chi_tieu_ko_hen_18h,c1.1_chitiet_report_processed.xlsx,chi_tieu_ko_hen_18h,id,__snapshot_id,__sheet_id,__row_num,__row_hash,__imported_at,TEN_DOI,NVKT,Tổng phiếu,Số phiếu đạt,Tỷ lệ phiếu sửa chữa báo hỏng dịch vụ BRCD đúng quy định không tính hẹn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ba_dinh,/home/vtst/baocaohanoi/api_transition/runtime/ba_dinh/sqlite_history/report_history.db,chi_tieu_c_c1_1_report_th_c1_1,c1.1 report_processed.xlsx,TH_C1.1,id,__snapshot_id,__sheet_id,__row_num,__row_hash,__imported_at,Đơn vị,SM1,SM2,"Tỷ lệ sửa chữa phiếu chất lượng chủ động dịch vụ FiberVNN, MyTV đạt yêu cầu",SM3,SM4,Tỷ lệ phiếu sửa chữa báo hỏng dịch vụ BRCD đúng quy định không tính hẹn,SM5,SM6,Tỷ lệ phiếu sửa chữa trong ngày tại CCCO,Chỉ tiêu BSC,,,,,,,,,,,,,,,,,,,,,,,,,,,
ba_dinh,/home/vtst/baocaohanoi/api_transition/runtime/ba_dinh/sqlite_history/report_history.db,chi_tieu_c_c1_2_chitiet_sm1_report_th_sm1c12_hll_thang,c1.2_chitiet_sm1_report_processed.xlsx,TH_SM1C12_HLL_Thang,id,__snapshot_id,__sheet_id,__row_num,__row_hash,__imported_at,TEN_DOI,NVKT,Số phiếu HLL,Số phiếu báo hỏng,Tỉ lệ HLL tháng (2.5%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ba_dinh,/home/vtst/baocaohanoi/api_transition/runtime/ba_dinh/sqlite_history/report_history.db,chi_tieu_c_c1_2_report_th_c1_2,c1.2 report_processed.xlsx,TH_C1.2,id,__snapshot_id,__sheet_id,__row_num,__row_hash,__imported_at,Đơn vị,SM1,SM2,Tỷ lệ thuê bao báo hỏng dịch vụ BRCĐ lặp lại,SM3,SM4,Tỷ lệ sự cố dịch vụ BRCĐ,Chỉ tiêu BSC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
